Date,Open,High,Low,Close,Adj Close,Volume
2023-06-22,29.790001,29.969999,29.389999,29.799999,28.784294,7169200
2023-06-23,29.459999,29.770000,29.320000,29.610001,28.600771,14808600
2023-06-26,29.780001,29.920000,29.700001,29.770000,28.755320,4905500
2023-06-27,29.799999,29.959999,29.540001,29.840000,28.822933,6004300
2023-06-28,29.690001,29.959999,29.570000,29.940001,28.919523,5646900
2023-06-29,30.000000,30.450001,29.940001,30.320000,29.286572,7262900
2023-06-30,30.500000,30.780001,30.440001,30.709999,29.663277,8796900
2023-07-03,30.700001,30.870001,30.570000,30.750000,29.701916,3743100
2023-07-05,30.520000,30.709999,30.410000,30.680000,29.634300,5289000
2023-07-06,30.309999,30.910000,30.240000,30.900000,29.846802,6384500
2023-07-07,30.990000,31.410000,30.950001,31.129999,30.068962,7796100
2023-07-10,31.129999,31.540001,31.030001,31.540001,30.464991,5394600
2023-07-11,32.470001,33.740002,32.290001,33.450001,32.309891,13731700
2023-07-12,33.779999,33.900002,32.889999,32.900002,31.778637,7828300
2023-07-13,33.090000,33.590000,33.090000,33.560001,32.416145,4335500
2023-07-14,33.400002,33.410000,32.700001,32.790001,31.672382,4676500
2023-07-17,32.669998,32.939999,32.490002,32.820000,31.701361,3861700
2023-07-18,32.790001,32.900002,32.459999,32.779999,31.662727,5029400
2023-07-19,33.049999,33.250000,32.919998,32.930000,31.807613,4690400
2023-07-20,32.759998,32.830002,32.240002,32.560001,31.450226,5111100
2023-07-21,32.630001,32.709999,32.230000,32.240002,31.141132,3482300
2023-07-24,32.369999,32.700001,32.240002,32.430000,31.324656,3661700
2023-07-25,32.560001,33.270000,32.520000,33.099998,31.971815,4693800
2023-07-26,32.900002,33.230000,32.860001,33.040001,31.913860,4722700
2023-07-27,33.389999,33.500000,32.790001,32.880001,31.759319,3881700
2023-07-28,33.189999,33.240002,32.560001,32.630001,31.517839,3753000
2023-07-31,32.740002,33.009998,32.669998,32.830002,31.711021,3739500
2023-08-01,32.570000,33.049999,32.549999,32.950001,31.826933,3945200
2023-08-02,32.669998,32.860001,32.470001,32.500000,31.392269,5172700
2023-08-03,32.279999,32.889999,32.150002,32.700001,31.585449,4149900
2023-08-04,32.750000,32.880001,32.410000,32.430000,31.324656,3685900
2023-08-07,32.650002,33.029999,32.610001,32.750000,31.633747,4017400
2023-08-08,32.689999,33.099998,32.419998,33.070000,31.942839,5331700
2023-08-09,32.980000,33.130001,32.740002,32.810001,31.691704,4712000
2023-08-10,33.060001,33.240002,32.709999,32.970001,31.846251,4483700
2023-08-11,32.860001,33.230000,32.750000,32.770000,31.653067,4356900
2023-08-14,32.740002,32.750000,31.940001,32.070000,30.976923,8870700
2023-08-15,31.820000,32.139999,31.719999,31.840000,30.754765,5895700
2023-08-16,31.719999,31.820000,31.219999,31.299999,30.233168,4525500
2023-08-17,31.400000,31.469999,30.870001,30.959999,29.904755,6148700
2023-08-18,30.830000,31.219999,30.670000,31.059999,30.001348,4850400
2023-08-21,31.070000,31.350000,31.040001,31.290001,30.223513,3214500
2023-08-22,31.440001,31.530001,30.670000,31.020000,29.962713,5082000
2023-08-23,31.219999,31.370001,30.900000,31.150000,30.088282,5059000
2023-08-24,31.280001,31.370001,30.719999,30.750000,29.701916,5164800
2023-08-25,31.080000,31.080000,30.360001,30.840000,29.788849,5027000
2023-08-28,30.940001,31.490000,30.920000,31.330000,30.262148,4288100
2023-08-29,31.360001,31.860001,31.260000,31.370001,30.300783,9726000
2023-08-30,29.020000,29.360001,27.850000,29.290001,28.291677,22465500
2023-08-31,29.299999,29.820000,29.170000,29.709999,28.697361,9962600
2023-09-01,29.950001,30.670000,29.840000,30.370001,29.334867,9619500
2023-09-05,30.170000,30.379999,29.879999,30.139999,29.112705,8392200
2023-09-06,29.959999,30.309999,29.840000,30.129999,29.103046,6534700
2023-09-07,29.790001,30.020000,29.250000,29.320000,28.320656,9542400
2023-09-08,29.400000,29.770000,29.330000,29.450001,28.446226,5942500
2023-09-11,29.700001,29.910000,29.530001,29.559999,28.552473,7198700
2023-09-12,29.129999,29.459999,28.920000,28.940001,28.204548,8773500
2023-09-13,28.920000,29.080000,28.320000,28.330000,27.610052,12336500
2023-09-14,26.879999,27.879999,26.799999,27.820000,27.113010,16424100
2023-09-15,27.879999,27.879999,27.100000,27.340000,26.645208,14888600
2023-09-18,27.260000,27.480000,27.120001,27.320000,26.625719,10290100
2023-09-19,27.350000,27.660000,27.290001,27.570000,26.869362,8444700
2023-09-20,27.700001,27.740000,27.049999,27.059999,26.372326,8056000
2023-09-21,27.059999,27.240000,26.780001,26.799999,26.118931,7151700
2023-09-22,26.920000,27.059999,26.750000,26.770000,26.089695,7017200
2023-09-25,26.180000,26.920000,26.100000,26.299999,25.631636,9512100
2023-09-26,26.120001,26.209999,25.700001,25.719999,25.066378,8797100
2023-09-27,25.850000,25.980000,25.570000,25.639999,24.988411,6670800
2023-09-28,25.299999,25.830000,25.219999,25.570000,24.920191,8527600
2023-09-29,25.740000,26.170000,25.670000,25.700001,25.046888,12472500
2023-10-02,25.639999,26.040001,25.559999,25.670000,25.017649,8547400
2023-10-03,26.139999,26.610001,26.030001,26.129999,25.465960,14637300
2023-10-04,26.219999,26.219999,25.830000,26.040001,25.378248,8431300
2023-10-05,25.860001,26.379999,25.860001,26.230000,25.563417,11943900
2023-10-06,26.090000,26.180000,25.740000,25.900000,25.241802,8406200
2023-10-09,25.860001,26.230000,25.590000,26.080000,25.417229,7324000
2023-10-10,26.280001,26.600000,26.209999,26.430000,25.758337,9998600
2023-10-11,26.600000,27.049999,26.469999,26.830000,26.148170,11313900
2023-10-12,26.830000,26.879999,26.580000,26.750000,26.070204,7050300
2023-10-13,26.719999,26.790001,26.400000,26.500000,25.826557,6098000
2023-10-16,26.700001,27.000000,26.650000,26.879999,26.196899,6655300
2023-10-17,26.709999,27.240000,26.670000,27.100000,26.411308,7043500
2023-10-18,26.879999,27.240000,26.820000,27.040001,26.352835,9127000
2023-10-19,27.000000,27.100000,26.350000,26.450001,25.777826,7085300
2023-10-20,26.459999,26.549999,26.000000,26.010000,25.349009,6037100
2023-10-23,25.940001,26.209999,25.690001,25.879999,25.222313,4582700
2023-10-24,26.070000,26.250000,25.930000,26.160000,25.495197,6426700
2023-10-25,26.000000,26.260000,25.900000,26.030001,25.368502,4249700
2023-10-26,26.000000,26.350000,25.870001,26.170000,25.504942,9205800
2023-10-27,26.260000,26.290001,25.670000,25.840000,25.183329,5463900
2023-10-30,26.000000,26.330000,25.900000,26.160000,25.495197,5454700
2023-10-31,26.010000,26.400000,25.959999,26.330000,25.660877,8402700
2023-11-01,26.410000,26.590000,26.219999,26.480000,25.807062,5966500
2023-11-02,26.840000,27.000000,26.670000,26.840000,26.157917,5276000
2023-11-03,26.990000,27.540001,26.959999,27.420000,26.723177,4653800
2023-11-06,27.500000,27.570000,27.250000,27.330000,26.635464,5944300
2023-11-07,27.430000,27.680000,27.230000,27.330000,26.635464,6699300
2023-11-08,27.370001,27.480000,27.090000,27.209999,26.518511,5493400
2023-11-09,27.309999,27.379999,27.010000,27.020000,26.333342,6569400
2023-11-10,27.170000,27.620001,27.030001,27.620001,26.918095,10387200
2023-11-13,27.760000,27.990000,27.620001,27.780001,27.074030,8606000
2023-11-14,28.240000,28.520000,28.160000,28.280001,27.561321,7056100
2023-11-15,28.290001,28.860001,28.260000,28.469999,27.746492,8460900
2023-11-16,28.469999,28.590000,27.930000,28.209999,27.493097,8823200
2023-11-17,28.350000,28.389999,28.100000,28.309999,27.590559,7957400
2023-11-20,28.080000,28.250000,27.860001,27.990000,27.278690,8484000
2023-11-21,28.059999,28.110001,27.660000,27.870001,27.161743,12903100
2023-11-22,28.459999,29.290001,27.889999,28.660000,27.931664,15778600
2023-11-24,28.540001,28.830000,28.440001,28.639999,27.912172,4762100
2023-11-27,28.410000,28.670000,28.260000,28.520000,27.795221,7704900
2023-11-28,28.440001,28.680000,28.320000,28.639999,27.912172,5762100
2023-11-29,28.900000,29.309999,28.860001,29.070000,28.331244,7267100
2023-11-30,29.320000,29.379999,29.020000,29.340000,28.594383,12883100
2023-12-01,29.110001,29.580000,28.549999,29.500000,28.750319,9598400
2023-12-04,29.240000,29.469999,28.940001,29.040001,28.302010,6105400
2023-12-05,28.920000,29.160000,28.799999,28.860001,28.126583,13911900
2023-12-06,29.090000,29.139999,28.450001,28.490000,27.765985,5372400
2023-12-07,28.709999,29.520000,28.709999,29.410000,28.662605,13674100
2023-12-08,29.400000,29.590000,29.309999,29.459999,28.711334,7563000
2023-12-11,29.900000,30.559999,29.799999,30.370001,29.598209,14358800
2023-12-12,30.219999,30.480000,30.150000,30.230000,29.731968,8909000
2023-12-13,30.230000,30.340000,29.780001,30.150000,29.653286,10303400
2023-12-14,30.469999,31.170000,30.469999,30.930000,30.420435,12597100
2023-12-15,30.930000,30.950001,30.340000,30.780001,30.272907,28404600
2023-12-18,30.680000,30.809999,30.260000,30.260000,29.761475,15426400
2023-12-19,30.459999,30.680000,30.219999,30.280001,29.781145,7827000
2023-12-20,30.170000,30.370001,29.790001,29.790001,29.299217,8750400
2023-12-21,30.080000,30.219999,29.910000,30.139999,29.643450,6529200
2023-12-22,30.219999,30.480000,30.070000,30.180000,29.682791,4476400
2023-12-26,30.139999,30.549999,30.059999,30.410000,29.909002,4853600
2023-12-27,30.400000,30.520000,30.209999,30.240000,29.741804,5127900
2023-12-28,30.150000,30.240000,29.950001,30.180000,29.682791,5704900
2023-12-29,30.170000,30.330000,30.020000,30.090000,29.594275,5201800
2024-01-02,29.820000,30.070000,29.660000,29.830000,29.338556,8773700
2024-01-03,29.660000,30.100000,29.480000,29.900000,29.407404,8026400
2024-01-04,29.820000,30.129999,29.650000,29.680000,29.191031,7727300
2024-01-05,29.600000,30.219999,29.540001,29.950001,29.456583,6926100
2024-01-08,30.139999,31.090000,30.080000,31.000000,30.489283,11378000
2024-01-09,30.700001,30.820000,30.139999,30.160000,29.663120,8504500
2024-01-10,30.160000,30.410000,30.100000,30.340000,29.840157,8686400
2024-01-11,30.459999,30.600000,29.820000,30.000000,29.505756,8835600
2024-01-12,30.040001,30.180000,29.709999,29.809999,29.318886,6880900
2024-01-16,29.500000,29.559999,29.010000,29.090000,28.610748,6694900
2024-01-17,28.809999,28.920000,28.450001,28.650000,28.177998,8072300
2024-01-18,28.910000,28.910000,28.450001,28.650000,28.177998,8246700
2024-01-19,28.740000,29.340000,28.400000,29.120001,28.640255,9815300
2024-01-22,29.299999,29.559999,29.139999,29.180000,28.699266,8926200
2024-01-23,29.170000,29.660000,29.120001,29.570000,29.082840,7559800
2024-01-24,29.770000,29.920000,29.540001,29.559999,29.073006,6920100
2024-01-25,29.660000,30.010000,29.500000,29.709999,29.220533,8338200
2024-01-26,29.639999,30.160000,29.639999,30.000000,29.505756,9326000
2024-01-29,30.000000,30.010000,29.139999,29.240000,28.758278,8002600
2024-01-30,29.200001,29.350000,29.090000,29.150000,28.669760,6618100
2024-01-31,28.940001,29.160000,28.690001,28.709999,28.237009,10409600
2024-02-01,28.660000,28.940001,28.379999,28.940001,28.463221,11987700
2024-02-02,28.770000,28.820000,28.450001,28.680000,28.207504,7193000
2024-02-05,28.570000,28.590000,28.170000,28.330000,27.863270,10526200
2024-02-06,28.350000,28.549999,28.150000,28.290001,27.823929,7926000
2024-02-07,28.250000,28.250000,27.860001,27.950001,27.489532,7358000
2024-02-08,28.000000,28.299999,27.930000,28.290001,27.823929,4639200
2024-02-09,28.280001,28.520000,28.190001,28.420000,27.951788,4852200
2024-02-12,28.420000,28.799999,28.389999,28.690001,28.217340,4896400
2024-02-13,28.320000,28.400000,27.889999,28.139999,27.676399,6505900
2024-02-14,29.010000,29.080000,28.340000,28.580000,28.109150,6547400
2024-02-15,28.580000,29.090000,28.580000,29.030001,28.551737,7071800
2024-02-16,28.990000,29.100000,28.530001,28.580000,28.109150,5681000
2024-02-20,28.379999,28.750000,28.340000,28.629999,28.158327,5677700
2024-02-21,28.540001,28.650000,28.260000,28.430000,27.961622,7580400
2024-02-22,28.490000,29.100000,28.490000,28.950001,28.473057,6276200
2024-02-23,29.129999,29.330000,28.990000,29.270000,28.787785,5547400
2024-02-26,29.309999,29.490000,28.780001,28.799999,28.325525,9431100
2024-02-27,28.959999,28.980000,28.660000,28.830000,28.355032,6683700
2024-02-28,28.719999,29.090000,28.680000,28.719999,28.246843,10811300
2024-02-29,27.860001,29.070000,27.660000,28.330000,27.863270,22925500
2024-03-01,29.000000,29.629999,28.889999,29.410000,28.925478,13986500
2024-03-04,29.350000,29.600000,28.990000,29.059999,28.581244,10322000
2024-03-05,28.980000,29.450001,28.870001,29.129999,28.650089,10274400
2024-03-06,29.480000,30.500000,29.410000,30.230000,29.731968,14188000
2024-03-07,30.360001,30.950001,30.150000,30.559999,30.056530,14006800
2024-03-08,30.740000,31.049999,30.549999,30.740000,30.233564,11434200
2024-03-11,30.610001,30.930000,30.389999,30.860001,30.351589,7029000
2024-03-12,30.610001,30.790001,30.190001,30.500000,30.268227,13376800
2024-03-13,30.500000,30.950001,30.299999,30.750000,30.516327,8006400
2024-03-14,30.799999,30.920000,30.360001,30.610001,30.377392,9767200
2024-03-15,30.450001,30.959999,30.400000,30.420000,30.188835,15269700
2024-03-18,30.389999,30.469999,29.610001,29.940001,29.712482,9223700
2024-03-19,29.809999,29.889999,29.500000,29.820000,29.593393,6113600
2024-03-20,29.700001,29.770000,29.330000,29.680000,29.454458,5292800
2024-03-21,29.850000,30.389999,29.700001,30.080000,29.851419,6699300
2024-03-22,30.110001,30.240000,29.950001,30.049999,29.821646,4796500
2024-03-25,29.889999,30.059999,29.809999,29.879999,29.652937,6904700
2024-03-26,30.049999,30.139999,29.980000,29.990000,29.762102,6167100
2024-03-27,30.190001,30.200001,29.730000,30.120001,29.891115,6440800
2024-03-28,30.120001,30.370001,30.030001,30.219999,29.990355,5954100
2024-04-01,30.250000,30.559999,30.219999,30.379999,30.149137,6811800
